"dot(grad,param)","dot(grad[n-10], grad[n])","dot(grad[n-11], grad[n])","dot(grad[n-12], grad[n])","dot(grad[n-1], grad[n])","dot(grad[n-2], grad[n])","dot(grad[n-3], grad[n])","dot(grad[n-4], grad[n])","dot(grad[n-5], grad[n])","dot(grad[n-6], grad[n])","dot(grad[n-7], grad[n])","dot(grad[n-8], grad[n])","dot(grad[n-9], grad[n])","dot(step[n-10], step[n])","dot(step[n-11], step[n])","dot(step[n-12], step[n])","dot(step[n-1], step[n])","dot(step[n-2], step[n])","dot(step[n-3], step[n])","dot(step[n-4], step[n])","dot(step[n-5], step[n])","dot(step[n-6], step[n])","dot(step[n-7], step[n])","dot(step[n-8], step[n])","dot(step[n-9], step[n])",epoch,grad_norm,learning_rate,param_norm,step,step_size,train/accuracy_step,train/loss
0.852849006652832,,,,,,,,,,,,,,,,,,,,,,,,,0,40.307655334472656,0.10000000149011612,112.38108825683594,0,106.02691650390625,0.11167924106121063,2.782993793487549
0.3122211694717407,,,,-0.14956322312355042,,,,,,,,,,,,7260.66162109375,,,,,,,,,0,2.191028356552124,0.10000000149011612,179.59486389160156,1,71.5010757446289,0.1281691938638687,2.4231011867523193
-0.13344089686870575,,,,-0.025661669671535492,0.014008589088916779,,,,,,,,,,,3933.981689453125,5595.94677734375,,,,,,,,0,0.6262874007225037,0.10000000149011612,233.17735290527344,2,55.3417854309082,0.2821221947669983,1.965209722518921
-0.3356206715106964,,,,-0.013727623969316483,-0.041039206087589264,-0.008580770343542099,,,,,,,,,,2505.1728515625,3218.189453125,4579.85595703125,,,,,,,0,0.45720401406288147,0.10000000149011612,277.5499572753906,3,45.377559661865234,0.49661803245544434,1.7047227621078491
-0.4508879482746124,,,,0.01181034930050373,0.03918594866991043,-0.044170938432216644,-0.08187428116798401,,,,,,,,,1740.439208984375,2116.9716796875,2718.31787109375,3869.759765625,,,,,,0,0.39117053151130676,0.10000000149011612,315.27386474609375,4,38.3956184387207,0.5443871021270752,1.5728564262390137
-0.5562130212783813,,,,0.0813281387090683,0.025126386433839798,0.020469795912504196,-0.0414925143122673,-0.07427018135786057,,,,,,,,1271.176025390625,1499.634521484375,1824.0909423828125,2341.989013671875,3334.738525390625,,,,,0,0.33225756883621216,0.10000000149011612,347.9051513671875,5,33.13127517700195,0.6636953353881836,1.4294214248657227
-0.4998151659965515,,,,0.04583282023668289,0.02688288688659668,0.03070458397269249,0.004761542193591595,-0.009015143848955631,-0.06469855457544327,,,,,,,958.5302124023438,1109.748046875,1309.2314453125,1592.3408203125,2044.8040771484375,2911.886474609375,,,,0,0.3162464499473572,0.10000000149011612,376.46923828125,6,28.955541610717773,0.6773772239685059,1.4367221593856812
-0.6461188793182373,,,,0.0548793189227581,0.05952491611242294,0.03820452466607094,0.042335983365774155,0.008922821842133999,-0.03993948549032211,-0.05462247133255005,,,,,,739.6461181640625,845.0814208984375,978.1672973632812,1153.98681640625,1403.29931640625,1802.259033203125,2566.762451171875,,,0,0.29853639006614685,0.10000000149011612,401.6968078613281,7,25.55950355529785,0.6660372018814087,1.2219327688217163
-0.6335088014602661,,,,0.06707904487848282,0.045938149094581604,0.04496408998966217,0.03321124240756035,0.05081462115049362,-0.002122516743838787,-0.01995021477341652,-0.07737353444099426,,,,,580.2461547851562,656.6035766601562,750.06201171875,868.2503662109375,1024.3787841796875,1245.20703125,1599.6107177734375,2278.3466796875,,0,0.3236582577228546,0.10000000149011612,424.12469482421875,8,22.72334861755371,0.6990593671798706,1.1876647472381592
-0.7612467408180237,,,,0.07266232371330261,0.06253384798765182,0.0400785468518734,0.06316127628087997,0.05476485937833786,0.040921758860349655,0.012644617818295956,-0.01910136081278324,-0.08075792342424393,,,,461.24957275390625,517.9940185546875,585.992431640625,669.344970703125,774.6873779296875,913.8818359375,1110.961669921875,1427.2825927734375,2033.0850830078125,0,0.2925774157047272,0.10000000149011612,444.1661376953125,9,20.31393814086914,0.8420830965042114,0.966403603553772
-0.6639366745948792,-0.07794951647520065,,,0.059700410813093185,0.0527532659471035,0.04682529717683792,0.04763415828347206,0.04542441666126251,0.049587856978178024,0.018407324329018593,0.00868211966007948,-0.011372927576303482,1821.766845703125,,,370.30859375,413.60400390625,464.3296813964844,525.2064208984375,599.702392578125,694.0244750976562,818.538818359375,995.2362060546875,1278.831787109375,0,0.27105095982551575,0.10000000149011612,462.1476745605469,10,18.251972198486328,0.7846916317939758,1.0057629346847534
-0.6264479756355286,-0.01750890165567398,-0.0782938227057457,,0.05380028858780861,0.04646819084882736,0.03877174109220505,0.03369678929448128,0.04613463208079338,0.053533632308244705,0.05060313642024994,0.009021662175655365,0.004169985186308622,1149.408935546875,1637.593505859375,,299.75616455078125,332.938720703125,371.8276672363281,417.5814514160156,472.3095703125,539.0665283203125,623.7215576171875,735.4283447265625,894.5784301757812,0,0.2804645597934723,0.10000000149011612,478.3307800292969,11,16.44590950012207,0.7752097845077515,0.9349454045295715
-0.5497076511383057,0.007455465383827686,-0.028770379722118378,-0.05112699419260025,0.03261079639196396,0.021342264488339424,0.02958735264837742,0.04438415542244911,0.04298997297883034,0.02864522486925125,0.038030628114938736,0.025049207732081413,0.0259188674390316,806.4082641601562,1036.0693359375,1476.192138671875,243.94851684570312,270.189453125,300.16522216796875,335.27557373046875,376.47198486328125,425.7127685546875,485.79913330078125,562.132080078125,662.9435424804688,0,0.26392272114753723,0.10000000149011612,492.93475341796875,12,14.858044624328613,0.7712842226028442,0.9305771589279175
